seller_cluster,sellers,revenue,avg_revenue,avg_orders,avg_review,late_rate,avg_delivery_days,cluster_label
0,330,564423.02,1710.372787878788,18.015151515151516,4.409284965301086,0.023119866084339084,8.797795877083837,Niche reliable sellers
1,192,7186865.94,37431.5934375,294.390625,4.074249132806382,0.07421491434085566,12.87584449179712,Long-tail standard sellers
2,83,452421.83,5450.865421686747,30.03614457831325,3.3605919930261745,0.21575339100397092,19.809903479212437,Logistics-risk sellers
3,310,1029914.33,3322.3042903225805,23.996774193548386,3.9192548033993475,0.08954043178790012,13.505494603681408,Long-tail standard sellers
4,356,3079481.1,8650.227808988764,60.449438202247194,4.262554404486399,0.041648926308020105,10.697669048761474,Long-tail standard sellers
