customer_segment,customers,revenue,avg_revenue,avg_frequency,avg_recency,avg_review,repeat_rate,roi_score
High-value one-time buyers,14894,4010404.73,269.2631079629381,1.0,286.102457365382,4.029959377115775,0.0,0.7666666666666666
Champions,6710,1854442.75,276.37000745156485,1.1769001490312965,141.01520119225037,4.123002956621508,0.1479880774962742,0.75
Standard customers,32708,3549367.21,108.51679130487952,1.0311544576250458,221.96698055521583,4.074830019265054,0.0290448819860584,0.7166666666666667
At-risk repeat customers,22975,3292419.07,143.3044208922742,1.049575625680087,445.69323177366704,4.080064714029338,0.0458759521218716,0.7166666666666666
Recent low-frequency buyers,9238,516360.77,55.895298765966665,1.0,139.97521108465037,4.188975949504843,0.0,0.3333333333333333
Low-value casual buyers,9571,368649.17,38.51730958102601,1.0,391.38376345209485,4.089569518998,0.0,0.21666666666666665
