feature,importance
purchase_month_num,0.33734126786042307
state_order_volume,0.16741397657879226
log_freight,0.1486505042193921
freight_share,0.09982594281517593
log_revenue,0.09278565384544799
category_order_volume,0.06667419730882015
purchase_dayofweek,0.03664428811969793
max_installments,0.03371168210581171
n_items,0.009224062121282173
n_products,0.0045673565712456635
n_sellers,0.0031610684539111525
