category,revenue,orders,avg_review,late_rate,avg_delivery_days,revenue_rank_pct,review_rank_pct,late_rank_pct,category_type
health_beauty,1258681.34,8836,4.183800266819135,0.0737797956867196,11.630523019830685,1.0,0.6451612903225806,0.8225806451612904,Strategic risk category
watches_gifts,1205005.68,5624,4.073324905183313,0.0727077363896848,12.365303502659089,0.9838709677419355,0.41935483870967744,0.7903225806451613,Strategic risk category
bed_bath_table,1036988.68,9417,3.974463958625148,0.0734150239744272,12.531926406926408,0.967741935483871,0.16129032258064516,0.8064516129032258,Strategic risk category
sports_leisure,988048.97,7720,4.17710384665879,0.0642931664058424,11.800481412142284,0.9516129032258065,0.6290322580645161,0.5967741935483871,Strategic strong category
computers_accessories,911954.32,6689,4.0271878294923935,0.0624344961820631,12.73155391931278,0.9354838709677419,0.24193548387096775,0.532258064516129,Strategic risk category
furniture_decor,729762.49,6449,4.023730158730158,0.0702362204724409,12.641430412371134,0.9193548387096774,0.22580645161290322,0.7419354838709677,Strategic risk category
cool_stuff,635290.85,3632,4.186164229471316,0.0582334912231819,11.945676905574516,0.9032258064516129,0.6774193548387096,0.41935483870967744,Strategic strong category
housewares,632248.66,5884,4.154219372725698,0.0529938059187887,10.645212484570624,0.8870967741935484,0.5483870967741935,0.3387096774193548,Strategic strong category
auto,592720.11,3897,4.0913200723327305,0.0714469288100745,11.88088351301604,0.8709677419354839,0.43548387096774194,0.7580645161290323,Strategic risk category
garden_tools,485256.46,3518,4.147816025455597,0.0646737568266743,13.20257988859572,0.8548387096774194,0.532258064516129,0.6290322580645161,Strategic strong category
toys,483946.6,3886,4.198398109243698,0.0627440770632647,11.294493216280928,0.8387096774193549,0.7419354838709677,0.5645161290322581,Strategic strong category
baby,411764.89,2885,4.045151089248067,0.0787456445993031,12.234073013600574,0.8225806451612904,0.2903225806451613,0.9032258064516129,Strategic risk category
perfumery,399124.87,3162,4.206670922438557,0.0642289348171701,11.46336698143927,0.8064516129032258,0.7741935483870968,0.5806451612903226,Strategic strong category
telephony,323667.53,4199,4.008924264351182,0.0696672252813023,12.49349054286416,0.7903225806451613,0.1935483870967742,0.7258064516129032,Strategic risk category
office_furniture,273960.7,1273,3.627693535514765,0.0799683293745051,20.258038585209004,0.7741935483870968,0.016129032258064516,0.9193548387096774,Strategic risk category
stationery,230943.23,2311,4.253301056338028,0.0646853146853146,12.366354306113342,0.7580645161290323,0.8548387096774194,0.6451612903225806,Strategic strong category
computers,222963.13,181,4.192090395480226,0.0555555555555555,13.5,0.7419354838709677,0.7258064516129032,0.4032258064516129,Standard category
pet_shop,214315.41,1710,4.247044917257683,0.0505584950029394,10.93627159023228,0.7258064516129032,0.8387096774193549,0.25806451612903225,Standard category
