category,revenue,orders,avg_review,late_rate,avg_delivery_days,revenue_rank_pct,review_rank_pct,late_rank_pct,category_type,risk_score,decision_score
bed_bath_table,1036988.68,9417,3.974463958625148,0.0734150239744272,12.531926406926408,0.967741935483871,0.1612903225806451,0.8064516129032258,Strategic risk category,0.8870967741935484,0.8983870967741936
office_furniture,273960.7,1273,3.627693535514765,0.0799683293745051,20.258038585209004,0.7741935483870968,0.0161290322580645,0.9193548387096774,Strategic risk category,0.8701612903225806,0.8564516129032258
furniture_decor,729762.49,6449,4.023730158730158,0.0702362204724409,12.641430412371134,0.9193548387096774,0.2258064516129032,0.7419354838709677,Strategic risk category,0.8298387096774194,0.8403225806451613
watches_gifts,1205005.68,5624,4.073324905183313,0.0727077363896848,12.365303502659089,0.9838709677419356,0.4193548387096774,0.7903225806451613,Strategic risk category,0.825,0.8266129032258064
baby,411764.89,2885,4.045151089248067,0.0787456445993031,12.234073013600574,0.8225806451612904,0.2903225806451613,0.9032258064516128,Strategic risk category,0.8185483870967742,0.8112903225806454
health_beauty,1258681.34,8836,4.183800266819135,0.0737797956867196,11.630523019830685,1.0,0.6451612903225806,0.8225806451612904,Strategic risk category,0.785483870967742,0.7927419354838711
computers_accessories,911954.32,6689,4.0271878294923935,0.0624344961820631,12.73155391931278,0.935483870967742,0.2419354838709677,0.532258064516129,Strategic risk category,0.7701612903225805,0.7919354838709678
telephony,323667.53,4199,4.008924264351182,0.0696672252813023,12.49349054286416,0.7903225806451613,0.1935483870967742,0.7258064516129032,Strategic risk category,0.7749999999999999,0.7879032258064517
auto,592720.11,3897,4.0913200723327305,0.0714469288100745,11.88088351301604,0.8709677419354839,0.4354838709677419,0.7580645161290323,Strategic risk category,0.760483870967742,0.7661290322580645
sports_leisure,988048.97,7720,4.17710384665879,0.0642931664058424,11.800481412142284,0.9516129032258064,0.6290322580645161,0.5967741935483871,Strategic strong category,0.7000000000000001,0.7193548387096775
audio,50688.5,350,3.834293948126801,0.1171428571428571,13.028735632183908,0.4677419354838709,0.0806451612903225,0.9838709677419356,Low-value quality drag,0.7354838709677419,0.7145161290322581
home_confort,58572.04,397,3.9226361031518624,0.0997150997150997,13.283236994219653,0.5,0.1290322580645161,0.967741935483871,Low-value quality drag,0.7330645161290323,0.7129032258064516
electronics,160246.74,2550,4.098692033293698,0.075531077891424,12.463531287365484,0.6774193548387096,0.4677419354838709,0.8709677419354839,Logistics-friction category,0.6991935483870968,0.6991935483870967
garden_tools,485256.46,3518,4.147816025455597,0.0646737568266743,13.20257988859572,0.8548387096774194,0.532258064516129,0.6290322580645161,Strategic strong category,0.6903225806451613,0.6983870967741936
furniture_living_room,68916.56,422,4.064039408866995,0.0754257907542579,13.575682382133994,0.532258064516129,0.3387096774193548,0.8548387096774194,Logistics-friction category,0.6612903225806452,0.6467741935483872
construction_tools_construction,144677.59,748,4.0968834688346885,0.0726783310901749,10.411764705882351,0.6290322580645161,0.4516129032258064,0.7741935483870968,Logistics-friction category,0.6524193548387097,0.646774193548387
housewares,632248.66,5884,4.154219372725698,0.0529938059187887,10.645212484570624,0.8870967741935484,0.5483870967741935,0.3387096774193548,Strategic strong category,0.6137096774193548,0.6443548387096775
musical_instruments,191498.88,628,4.186385737439222,0.0738362760834671,12.661716171617162,0.7096774193548387,0.6935483870967742,0.8387096774193549,Logistics-friction category,0.6475806451612904,0.6314516129032257
cool_stuff,635290.85,3632,4.186164229471316,0.0582334912231819,11.945676905574516,0.9032258064516128,0.6774193548387096,0.4193548387096774,Strategic strong category,0.6129032258064516,0.6306451612903227
toys,483946.6,3886,4.198398109243698,0.0627440770632647,11.294493216280928,0.8387096774193549,0.7419354838709677,0.5645161290322581,Strategic strong category,0.6112903225806452,0.6266129032258065
perfumery,399124.87,3162,4.206670922438557,0.0642289348171701,11.46336698143927,0.8064516129032258,0.7741935483870968,0.5806451612903226,Strategic strong category,0.5935483870967742,0.6048387096774194
consoles_games,157465.22,1062,4.069047619047619,0.0584905660377358,13.293307086614174,0.6612903225806451,0.3709677419354839,0.4354838709677419,Standard category,0.5854838709677419,0.6
home_construction,83088.12,490,4.066810344827586,0.0620985010706638,13.12391304347826,0.5806451612903226,0.3548387096774194,0.5161290322580645,Standard category,0.5774193548387097,0.5806451612903226
stationery,230943.23,2311,4.253301056338028,0.0646853146853146,12.366354306113342,0.7580645161290323,0.8548387096774194,0.6451612903225806,Strategic strong category,0.5709677419354838,0.5766129032258064
fashion_underwear_beach,9541.55,121,3.933333333333333,0.0909090909090909,13.564102564102564,0.1612903225806451,0.1451612903225806,0.9516129032258064,Low-value quality drag,0.5717741935483871,0.5370967741935484
fixed_telephony,59583.0,217,3.9018691588785046,0.0460829493087557,12.080188679245284,0.5161290322580645,0.1129032258064516,0.2096774193548387,Low-value quality drag,0.5169354838709678,0.514516129032258
home_appliances_2,113317.74,234,4.138528138528138,0.0600858369098712,13.4070796460177,0.5967741935483871,0.5161290322580645,0.4677419354838709,Standard category,0.5298387096774193,0.5137096774193548
fashion_bags_accessories,152823.54,1864,4.187837837837838,0.0548682087143625,10.767749036873967,0.6451612903225806,0.7096774193548387,0.3870967741935484,Standard category,0.4790322580645161,0.5016129032258064
furniture_mattress_and_upholstery,4368.08,38,3.8157894736842106,0.131578947368421,13.891891891891891,0.032258064516129,0.064516129032258,1.0,Low-value quality drag,0.5483870967741935,0.4991935483870968
