seller_id,revenue,orders,avg_review,late_rate,avg_delivery_days,cluster_label,risk_score,decision_score,betweenness,roi_score
2eb70248d66e0e3ef83659f71b244378,42628.61,202,2.6944444444444446,0.1039603960396039,17.55614973262032,Long-tail standard sellers,0.9251180173092052,0.9238001573564124,0.0071074187033282,0.991345397324941
4e922959ae960d389249c378d1c939f5,46030.37,420,3.95421686746988,0.0880952380952381,14.03883495145631,Long-tail standard sellers,0.8452006294256492,0.8457907159716759,0.014922635828562,0.987411487018096
70a12e78e608ac31179aea7f8422044b,30858.53,315,3.793548387096774,0.0929487179487179,14.31715210355987,Long-tail standard sellers,0.8720495672698663,0.8732297403619198,0.0074558395075216,0.9874114870180959
8444e55c1f13cd5c179851e5ca5ebd00,22873.21,99,3.2448979591836733,0.0612244897959183,20.747252747252748,Long-tail standard sellers,0.8321793863099922,0.8283044846577499,0.0073366599431255,0.9760031471282455
b2ba3715d723d245138f291a6fe42594,51676.88,337,4.114803625377643,0.0658682634730539,13.66043613707165,Long-tail standard sellers,0.774036191974823,0.7736821400472068,0.0208867477756606,0.959874114870181
955fee9216a65b617aa5c0531780ce60,135171.7,1287,4.163779527559055,0.06015625,10.322966507177034,Long-tail standard sellers,0.7631392604248624,0.7632966168371362,0.0176193741161068,0.9547600314712825
8b28d096634035667e8263d57ba3368c,9375.7,143,3.992857142857143,0.1056338028169014,13.652173913043478,Long-tail standard sellers,0.7630999213217938,0.7699055861526358,0.0081933351548,0.9539732494099135
b499c00f28f4b7069ff6550af8c1348a,10327.13,152,4.133333333333334,0.1266666666666666,10.993103448275862,Long-tail standard sellers,0.7539929189614477,0.7597560975609756,0.0083587756162601,0.9484657749803305
44073f8b7e41514de3b7815dd0237f4f,18729.64,144,3.755244755244755,0.0347222222222222,12.71830985915493,Long-tail standard sellers,0.7552124311565696,0.7551140833988984,0.009407565043357,0.9472856018882769
0be8ff43f22e456b4e0371b2245e4d01,11805.5,161,3.950310559006211,0.062111801242236,9.916666666666666,Long-tail standard sellers,0.7308418568056649,0.7358772619984265,0.0081262025096318,0.931549960660897
18a349e75d307f4b4cc646a691ed4216,8711.53,121,3.441666666666667,0.0495867768595041,10.743119266055048,Long-tail standard sellers,0.728324154209284,0.7345790715971676,0.0076171981934832,0.9299763965381589
7178f9f4dd81dcef02f62acdf8151e01,37070.4,203,4.044554455445544,0.0344827586206896,15.267326732673268,Long-tail standard sellers,0.7254523996852872,0.7246066089693155,0.0065664020484903,0.9217151848937843
f8db351d8c4c4c22c6835c19a46f01b0,50525.6,667,4.2607361963190185,0.0426829268292682,9.449074074074074,Long-tail standard sellers,0.6881589299763966,0.6890637293469709,0.0141793144887294,0.9044059795436664
f3da5b2ff499efb8d4a6d371d175d7dd,3702.29,79,3.835526315789474,0.1168831168831168,11.013333333333334,Long-tail standard sellers,0.6734067663257278,0.6885719905586154,0.0073172331520739,0.8977183320220299
95e03ca3d4146e4011985981aeb959b9,11009.96,175,4.061764705882353,0.0348837209302325,12.1301775147929,Long-tail standard sellers,0.6506490952006294,0.6570220298977183,0.008640642755953,0.8808025177025964
1da3aeb70d7989d1e6d9b0e887f97c23,8823.52,265,4.1603053435114505,0.0454545454545454,8.15,Long-tail standard sellers,0.6206726986624704,0.631294256490952,0.0232596232897918,0.8638867033831629
7299e27ed73d2ad986de7f7c77d919fa,34725.43,338,4.426865671641791,0.0417910447761194,10.810240963855422,Long-tail standard sellers,0.6293863099921322,0.630330448465775,0.0070266495080186,0.8540519276160503
a3a38f4affed601eb87a97788c949667,26533.32,254,4.403225806451613,0.0438247011952191,12.088709677419354,Long-tail standard sellers,0.6295436664044061,0.6306451612903226,0.0062512605219017,0.853658536585366
6edacfd9f9074789dad6d62ba7950b9c,13147.1,208,4.391089108910891,0.0443349753694581,8.56,Long-tail standard sellers,0.5925255704169945,0.5975216365066875,0.0114997202614842,0.8292682926829269
3078096983cf766a32a06257648502d1,8285.42,59,4.203389830508475,0.0338983050847457,11.607142857142858,Long-tail standard sellers,0.5664437450826121,0.5654209284028324,0.0062406044991882,0.7946498819826908
0bae85eb84b9fb3bd773911e89288d54,7482.21,137,4.2700729927007295,0.0072992700729927,9.808823529411764,Long-tail standard sellers,0.5130409126671912,0.5227380015735642,0.0083348056354117,0.7576711250983478
88460e8ebdecbfecb5f9601833981930,31546.550000000003,248,3.4558823529411766,0.1757322175732217,17.62447257383966,Long-tail standard sellers,0.9405192761605036,0.9410306845003934,0.0,0.745279307631786
712e6ed8aa4aa1fa65dab41fed5737e4,39815.0,79,3.3846153846153846,0.2025316455696202,24.27272727272728,Logistics-risk sellers,0.9478756884343036,0.9393194335169158,0.0,0.7448859166011015
7c67e1448b00f6e969d365cea6b010ab,187923.89,982,3.497931747673216,0.0914696813977389,21.99481327800829,Long-tail standard sellers,0.9202989771833202,0.9200629425649096,0.0,0.7440991345397325
855668e0971d4dfd7bef1b6a4133b41b,32208.16,312,3.781045751633987,0.1221864951768488,15.8561872909699,Long-tail standard sellers,0.9005507474429582,0.9014162077104644,0.0,0.743705743509048
1ca7077d890b907f89be8c954a02686a,13341.57,115,2.333333333333333,0.1565217391304348,15.00925925925926,Logistics-risk sellers,0.900078678206137,0.900865460267506,0.0,0.7433123524783635
1835b56ce799e6a4dc4eddc053f04066,33344.21,423,3.652068126520682,0.1038647342995169,12.845588235294118,Long-tail standard sellers,0.898701809598741,0.9004720692368213,0.0,0.742918961447679
b1b3948701c5c72445495bd161b83a4c,24699.19,18,1.7222222222222223,0.5,22.928571428571427,Logistics-risk sellers,0.9291109362706532,0.8992328874901653,0.0,0.7425255704169945
4a3ca9315b744ce9f8e9374361493884,200472.92,1806,3.8438566552901023,0.0961214165261382,14.044699140401146,Long-tail standard sellers,0.8985444531864674,0.8985837922895359,0.0,0.7421321793863099
06a2c3af7b3aee5d69171b0e14f0ee87,36408.95,392,3.989690721649485,0.1887755102040816,17.262210796915166,Long-tail standard sellers,0.8911093627065304,0.8923682140047208,0.0,0.7417387883556255
821fb029fc6e495ca4f08a35d51e53a5,19187.42,28,3.4074074074074074,0.2857142857142857,16.375,Logistics-risk sellers,0.9121754523996852,0.8912273800157356,0.0,0.741345397324941
8160255418d5aaa7dbdc9f4c64ebda44,47017.69,385,3.9510869565217392,0.1397849462365591,15.923705722070844,Long-tail standard sellers,0.8898111723052715,0.8899685287175454,0.0,0.7409520062942565
897060da8b9a21f655304d50fd935913,23023.92,317,3.642394822006473,0.1025641025641025,14.54180602006689,Long-tail standard sellers,0.8842446892210857,0.8866050354051928,0.0,0.740558615263572
54965bbe3e4f07ae045b90b0b8541f52,10961.3,78,3.0273972602739727,0.2857142857142857,25.84722222222222,Logistics-risk sellers,0.88705743509048,0.8864280094413848,0.0,0.7401652242328874
7ad32824caee82087b3e2e5f33b1bf32,22505.1,151,3.8541666666666665,0.1292517006802721,11.76923076923077,Long-tail standard sellers,0.8781471282454759,0.8774586939417781,0.0,0.739771833202203
0b35c634521043bf4b47e21547b99ab5,13533.65,51,3.4081632653061225,0.16,19.081632653061224,Logistics-risk sellers,0.8810778914240754,0.8725019669551535,0.0,0.738985051140834
8e6d7754bc7e0f22c96d255ebda59eba,14497.27,85,3.6280487804878048,0.1341463414634146,15.024691358024691,Long-tail standard sellers,0.8749409913453972,0.8718332022029898,0.0,0.7385916601101494
6039e27294dc75811c0d8a39069f52c0,13670.7,64,3.6875,0.171875,17.46031746031746,Logistics-risk sellers,0.877104642014162,0.8714398111723054,0.0,0.738198269079465
7d13fca15225358621be4086e1eb0964,113628.97,565,4.033989266547406,0.1136767317939609,15.278776978417266,Long-tail standard sellers,0.867387883556255,0.8671518489378441,0.0,0.7378048780487805
a49928bcdf77c55c6d6e05e09a9b4ca5,8816.7,98,3.0416666666666665,0.21875,16.72340425531915,Logistics-risk sellers,0.8621557828481511,0.8667191188040914,0.0,0.737411487018096
c3867b4666c7d76867627c2f7fb22e21,37153.4,245,3.916317991631799,0.1041666666666666,15.143497757847534,Long-tail standard sellers,0.8664044059795437,0.866168371361133,0.0,0.7370180959874115
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,21940.8,20,3.65,0.2,11.0,Long-tail standard sellers,0.8922698662470495,0.8651848937844218,0.0,0.7366247049567269
c60b801f2d52c7f7f91de00870882a75,12913.5,41,3.4473684210526314,0.1578947368421052,15.88888888888889,Logistics-risk sellers,0.8698465774980331,0.8585955940204564,0.0,0.7362313139260425
522620dcb18a6b31cd7bdf73665113a9,57168.49,174,3.888235294117647,0.0862068965517241,14.88953488372093,Long-tail standard sellers,0.8616050354051927,0.8585365853658538,0.0,0.735837922895358
cd68562d3f44870c08922d380acae552,18569.7,125,3.943548387096774,0.152,15.762295081967212,Long-tail standard sellers,0.8589496459480723,0.8576514555468135,0.0,0.7354445318646735
431af27f296bc6519d890aa5a05fdb11,13109.5,117,3.775862068965517,0.1367521367521367,16.79310344827586,Long-tail standard sellers,0.8563335955940206,0.8576317859952793,0.0,0.7350511408339889
6973a06f484aacf400ece213dbf3d946,11011.05,95,3.613636363636364,0.146067415730337,14.55421686746988,Long-tail standard sellers,0.8536978756884344,0.8553107789142407,0.0,0.7346577498033044
440dd6ab244315c632130ecfb63827b1,13696.9,94,3.849462365591398,0.1276595744680851,16.175824175824175,Long-tail standard sellers,0.8475609756097562,0.8461841070023604,0.0,0.73426435877262
75d34ebb1bd0bd7dde40dd507b8169c3,15048.28,62,3.741935483870968,0.1129032258064516,15.543859649122806,Long-tail standard sellers,0.8523406766325727,0.8452202989771833,0.0,0.733477576711251
